,entity_id,distribution,q_id
0,131078,"{'Non-alcoholic fatty liver': 1, 'Alcoholic fatty liver disease': 1}",39
1,131079,"{'Others': 1, 'Fever': 0}",39
2,131083,"{'Alcoholic fatty liver disease': 0, 'Non-alcoholic fatty liver': 0}",39
3,131086,"{'Benign prostatic hyperplasia': 1, 'Others': 2}",39
4,262160,{'Bacterial infections': 1},39
5,262183,"{'Mania': 0, 'Migraine': 0}",39
6,131121,{'Cough': 1},39
7,131128,{'Nutritional deficiencies': 4},39
8,262201,{'Heartburn': 0},39
9,262220,{},39
10,262231,"{'Heartburn': 0, 'Stomach ulcers': 0}",39
11,262233,{},39
12,131167,{'Type 2 diabetes': 1},39
13,131168,{'Type 2 diabetes': 2},39
14,131173,{'Type 2 diabetes': 0},39
15,131182,{'Type 2 diabetes': 0},39
16,131183,{'Type 2 diabetes': 3},39
17,131184,{'Type 2 diabetes': 1},39
18,131190,{'Vomiting': 0},39
19,262262,{'Type 2 diabetes': 0},39
20,262268,{},39
21,262270,{},39
22,262283,{'Increased triglycerides levels in blood': 0},39
23,262301,{},39
24,131233,{'Type 2 diabetes': 1},39
25,262307,{'Skin disorders': 0},39
26,262310,{},39
27,262331,{'Migraine': 1},39
28,131261,"{'Diarrhoea': 3, 'Infectious diarrhoea': 1, 'Diarrhoea associated with antibiotics': 2}",39
29,262344,{'musculo-skeletal pain': 0},39
30,262354,{'Increased blood pressure': 2},39
31,131286,"{'Bacterial infections': 3, 'Others': 1}",39
32,131303,{'Polycystic ovary syndrome': 0},39
33,131306,{'Type 2 diabetes': 4},39
34,131313,"{'Dry eye': 1, 'Dry eye disease': 0}",39
35,262394,"{'Others': 0, 'Bacterial infections': 0, 'Typhoid fever': 1}",39
36,262395,{'Arthralgia': 1},39
37,262397,{'Organ transplantation': 1},39
38,131327,{'Gout': 0},39
39,262401,{},39
40,262406,{'Bleeding': 0},39
41,262411,{'Glaucoma': 1},39
42,131350,{'Infections': 0},39
43,262430,{},39
44,262440,"{'Anxiety disorder': 1, 'Depression': 1}",39
45,131407,{'Hair loss': 3},39
46,262484,{'Type 2 diabetes': 0},39
47,262495,"{'Fungal infections': 2, 'Skin disorders': 1}",39
48,262499,{'Skin disorders': 0},39
49,131428,{'Hair loss': 8},39
50,262502,"{'dental pain': 1, 'Acidity': 0, 'Arthralgia': 1}",39
51,131431,{'Hair loss': 1},39
52,262529,"{'Severe allergic reaction': 0, 'Psoriasis': 1}",39
53,262537,{'Anaesthesia': 0},39
54,262540,{'Migraine': 0},39
55,262557,{'Appetite stimulant': 0},39
56,262587,{'Head and neck cancer': 1},39
57,262600,{'Serious bacterial infections': 0},39
58,262617,{'Increased triglycerides levels in blood': 0},39
59,262619,{'Increased blood pressure': 0},39
60,262639,{'Organ transplantation': 1},39
61,262703,{'Arthralgia': 1},39
62,262704,{'Migraine': 1},39
63,262708,"{'Allergic disorders': 1, 'Others': 1}",39
64,262710,{'Pancreatitis': 0},39
65,262751,{'Organ transplantation': 1},39
66,262758,{'Heartburn': 1},39
67,262760,"{'Stroke': 1, 'Age related memory loss': 1}",39
68,131697,"{'Nutritional deficiencies': 1, 'Diabetic nerve disease': 1}",39
69,131698,"{'Benign prostatic hyperplasia': 6, 'Others': 1}",39
70,262772,"{'Acne': 2, 'Others': 0}",39
71,262781,{'Osteoarthritis': 0},39
72,262786,{'Headache': 0},39
73,262791,{'Others': 0},39
74,262793,{'Others': 0},39
75,262827,"{'Severe allergic reaction': 0, 'Allergic disorders': 2, 'Asthma': 0}",39
76,262828,"{'Muscle relaxation': 2, 'Arthralgia': 1, 'Myalgia': 1, 'Headache': 1}",39
77,262829,{'Bacterial infections': 0},39
78,131760,"{'Osteoporosis': 0, 'Others': 1, 'Post menopausal osteoporosis': 1}",39
79,262835,{'Others': 0},39
80,262836,{'Nasal congestion': 1},39
81,262847,{'Abdominal Pain': 1},39
82,262852,{'Others': 0},39
83,131785,{'Bacterial infections': 0},39
84,131786,{'Bacterial infections': 2},39
85,262876,{'Increased blood pressure': 1},39
86,262879,{'Dandruff': 1},39
87,131808,{'Increased blood pressure': 0},39
88,131816,"{'Pain': 2, 'Swelling': 0, 'Others': 1}",39
89,131817,"{'Diarrhoea': 1, 'Hepatic encephalopathy': 1}",39
90,131821,"{'Arrhythmias': 0, 'Increased blood pressure': 1}",39
91,131833,{'Bacterial infections': 1},39
92,262908,"{'Heart attack': 0, 'Angina': 0}",39
93,262922,"{'Swelling': 2, 'Pain': 0}",39
94,262927,{},39
95,262928,{'Hyperpigmentation': 0},39
96,262942,{'Dry cough': 2},39
97,262953,{'Appetite stimulant': 1},39
98,131884,{'Acne': 1},39
99,262961,{'Heartburn': 0},39
100,262971,{'Allergic disorders': 0},39
101,262975,{'Acidity': 0},39
102,262981,{'Skin disorders': 0},39
103,131912,"{'Constipation': 46, 'Others': 3}",39
104,131922,"{'Bad odor from mouth': 0, 'Inflammation of gums': 2}",39
105,262995,{'Increased blood pressure': 0},39
106,131937,{'Acidity': 0},39
107,131945,"{'Muscle relaxation': 1, 'Ankylosing Spondylitis': 0, 'Arthralgia': 0}",39
108,263054,{'Bacterial infections': 1},39
109,263088,"{'Swelling': 2, 'Pain': 1}",39
110,263089,{'Increased blood pressure': 0},39
111,263100,{'Increased blood pressure': 0},39
112,132030,{'Constipation': 2},39
113,263107,{'Hypothyroidism': 0},39
114,263112,{'Increased blood pressure': 1},39
115,263113,{'Hypothyroidism': 0},39
116,263116,{'Increased blood pressure': 0},39
117,132049,{'Acne': 5},39
118,132055,{'Osteoarthritis': 0},39
119,132060,"{'Schizophrenia': 1, 'Others': 1}",39
120,263161,"{'Acidity': 1, 'Stomach ulcers': 1}",39
121,132091,{'Bacterial infections': 2},39
122,263170,{'Bacterial infections': 0},39
123,263178,{},39
124,263197,{'Others': 1},39
125,263203,{'Allergic disorders': 1},39
126,263209,"{'Others': 0, 'Scabies': 0}",39
127,132137,{'Fever': 0},39
128,263214,"{'Phobia': 1, 'Depression': 0}",39
129,132170,"{'Myalgia': 1, 'Arthralgia': 1, 'Pain during menstruation': 0, 'Muscle relaxation': 2}",39
130,263244,{'Fever': 1},39
131,263257,{'Asthma': 1},39
132,263260,{'Hypothyroidism': 0},39
133,263261,{'Schizophrenia': 0},39
134,263262,{'Increased blood pressure': 0},39
135,132207,"{'Skin disorders': 28, 'Eye disorders': 2, 'Hyperpigmentation': 27, 'Melasma': 27, 'Acne': 27, 'Anaesthesia': 2, 'Allergic disorders': 1, 'Others': 4}",39
136,263290,{'Anaesthesia': 1},39
137,263292,{},39
138,263302,{'Breast cancer': 0},39
139,132248,"{'Dry eye disease': 3, 'Dry eye': 2}",39
140,132252,{'Osteoarthritis': 2},39
